,Department,GEO,Role,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,left_Company,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),EMP_Sat_Remote_Mean,EMP_Engagement_Mean
18,Operations,US,Senior Manager,0.4,0.36,2,192,3,0,0,low,54,2,1,2,2,2081,90,6,2.4,4.2
19,Sales,Australia,Senior Manager,0.4,0.36,3,167,5,0,0,low,40,2,1,2,2,1180,68,10,2.4,4.2
20,Finance,Australia,Senior Manager,0.4,0.36,6,191,2,0,0,medium,27,1,1,1,1,3951,88,7,2.4,4.2
21,Human Resources,Korea,Senior Manager,0.4,0.36,2,192,3,0,0,low,51,2,2,2,2,2656,85,8,2.4,4.2
22,IT,China,Manager,0.4,0.37,2,176,2,0,0,low,36,2,2,1,2,1922,73,7,2.4,4.2
23,Warehouse,Korea,Manager,0.4,0.37,6,278,3,0,0,low,17,1,1,2,2,3644,75,7,2.4,4.2
24,Operations,Australia,Manager,0.4,0.37,2,159,6,0,0,low,17,1,2,2,1,1713,73,7,2.4,4.2
25,Sales,France,Manager,0.4,0.37,3,181,2,0,0,low,29,1,2,1,1,2925,86,8,2.4,4.2
26,Finance,France,Manager,0.4,0.37,5,186,2,0,0,medium,48,2,1,2,2,2773,89,6,2.4,4.2
27,Human Resources,Japan,Manager,0.4,0.37,6,226,2,0,0,low,11,2,2,2,2,3375,80,8,2.4,4.2
28,IT,Australia,Manager,0.4,0.37,5,155,3,0,0,low,20,1,2,2,2,1470,87,9,2.4,4.2
29,Warehouse,US,Manager,0.4,0.37,4,129,4,0,0,medium,14,1,1,2,1,1171,90,10,2.4,4.2
30,Operations,UK,Manager,0.4,0.37,5,128,3,0,0,medium,34,1,2,2,1,1561,88,10,2.4,4.2
31,Sales,Colombia,Manager,0.4,0.37,2,171,4,0,0,low,33,1,1,2,1,1097,73,10,2.4,4.2
32,Finance,Japan,Manager,0.4,0.37,6,200,3,0,0,low,25,1,1,1,1,2553,85,9,2.4,4.2
33,Human Resources,Australia,Manager,0.4,0.37,3,247,4,0,0,medium,44,2,2,1,1,2282,77,10,2.4,4.2
34,IT,Colombia,Manager,0.4,0.37,6,266,3,0,1,medium,55,5,5,2,2,3032,79,8,2.4,4.2
35,Warehouse,Turkey,Manager,0.4,0.37,3,256,3,0,0,medium,62,2,2,2,2,3328,79,6,2.4,4.2
36,Operations,France,Manager,0.4,0.37,2,232,3,0,0,low,48,1,2,2,2,3750,80,6,2.4,4.2
37,Sales,US,Manager,0.4,0.37,3,168,3,0,0,low,9,1,1,1,1,1318,60,6,2.4,4.2
38,Finance,Japan,Manager,0.4,0.37,2,284,3,0,0,high,62,1,1,2,2,3193,76,10,2.4,4.2
39,Human Resources,China,Manager,0.4,0.37,3,127,4,0,0,medium,34,2,1,1,2,1017,74,6,2.4,4.2
40,IT,US,Manager,0.4,0.37,4,216,4,0,0,low,46,2,2,1,1,3417,78,10,2.4,4.2
41,Warehouse,UK,Manager,0.4,0.37,6,233,5,0,0,medium,55,2,1,1,1,3331,76,9,2.4,4.2
42,Operations,Korea,Manager,0.4,0.37,4,285,3,0,0,low,10,1,2,2,1,3088,79,9,2.4,4.2
43,Sales,Turkey,Manager,0.4,0.37,3,167,3,0,0,medium,6,1,2,1,2,1871,60,7,2.4,4.2
44,Finance,France,Level 2-4,0.4,0.37,3,111,2,0,0,high,52,2,2,2,2,1535,70,8,2.4,4.2
45,Human Resources,Colombia,Level 2-4,0.4,0.37,3,137,4,0,0,low,38,1,2,2,2,1002,68,6,2.4,4.2
46,IT,US,Level 2-4,0.4,0.37,4,153,2,0,0,medium,64,1,1,2,1,1747,89,10,2.4,4.2
47,Warehouse,Colombia,Level 2-4,0.4,0.37,5,101,4,0,0,low,8,1,2,1,2,1981,90,8,2.4,4.2
48,Operations,Korea,Level 2-4,0.4,0.37,3,108,4,0,0,low,34,2,2,2,2,1837,65,8,2.4,4.2
49,Sales,US,Level 2-4,0.4,0.37,3,123,2,0,0,medium,55,2,1,1,2,1143,62,8,2.4,4.2
50,Finance,Turkey,Level 2-4,0.4,0.37,2,167,3,0,0,low,23,2,1,1,2,1256,69,6,2.4,4.2
51,Human Resources,US,Level 2-4,0.4,0.37,2,280,3,0,0,medium,62,2,2,1,1,2669,77,8,2.4,4.2
52,IT,US,Level 2-4,0.4,0.37,4,165,6,0,0,medium,44,2,2,2,2,1563,87,6,2.4,4.2
53,Warehouse,Turkey,Level 2-4,0.4,0.37,3,127,3,0,0,low,51,2,1,1,2,1469,67,6,2.4,4.2
54,Operations,Korea,Level 2-4,0.4,0.37,2,104,3,0,0,medium,52,2,2,1,1,1506,61,6,2.4,4.2
55,Sales,US,Level 2-4,0.4,0.37,3,125,2,0,0,medium,46,2,1,2,1,1677,73,8,2.4,4.2
56,Finance,Korea,Level 2-4,0.4,0.37,3,169,3,0,0,medium,14,1,1,2,1,1012,65,9,2.4,4.2
57,Human Resources,Australia,Level 2-4,0.4,0.37,6,219,6,0,0,low,16,1,1,1,1,3063,76,10,2.4,4.2
58,IT,US,Level 2-4,0.4,0.37,5,173,2,0,0,low,8,2,2,2,1,1866,88,7,2.4,4.2
59,Warehouse,UK,Level 2-4,0.4,0.37,5,156,4,0,0,medium,41,1,2,1,1,1975,90,8,2.4,4.2
60,Operations,Turkey,Level 2-4,0.4,0.37,5,246,3,0,0,medium,3,1,2,1,2,3565,80,8,2.4,4.2
61,Sales,US,Level 2-4,0.4,0.37,2,118,2,0,0,high,55,2,1,1,1,1927,75,10,2.4,4.2
62,Finance,UK,Level 2-4,0.4,0.37,3,164,4,0,0,low,57,2,1,2,1,1348,71,7,2.4,4.2
63,Human Resources,Korea,Level 2-4,0.4,0.37,2,219,2,0,0,low,14,1,1,2,1,3943,78,6,2.4,4.2
64,IT,US,Level 2-4,0.4,0.37,6,187,10,0,0,high,36,2,2,2,2,2869,86,6,2.4,4.2
65,Warehouse,France,Level 2-4,0.4,0.37,3,180,3,0,0,medium,63,1,1,2,2,1429,90,10,2.4,4.2
66,Operations,Colombia,Level 2-4,0.4,0.37,3,170,6,0,0,low,32,2,2,2,2,1281,71,6,2.4,4.2
67,Sales,Colombia,Level 2-4,0.4,0.37,2,179,5,0,1,low,44,5,1,1,2,1362,63,10,2.4,4.2
68,Finance,China,Level 2-4,0.4,0.37,5,156,4,0,0,medium,57,1,1,1,1,1051,85,9,2.4,4.2
69,Human Resources,China,Level 2-4,0.4,0.37,5,246,3,0,0,medium,21,2,1,2,1,2022,77,10,2.4,4.2
70,IT,France,Level 2-4,0.4,0.37,2,118,2,0,0,high,28,2,1,2,2,1211,63,6,2.4,4.2
71,Warehouse,France,Level 2-4,0.4,0.37,3,164,4,0,0,low,28,2,1,1,1,1404,63,7,2.4,4.2
72,Operations,US,Level 2-4,0.4,0.37,2,219,2,0,0,low,39,2,2,1,2,2581,78,9,2.4,4.2
73,Sales,UK,Level 2-4,0.4,0.37,6,187,10,0,0,high,43,2,2,1,2,2245,86,7,2.4,4.2
74,Finance,China,Level 2-4,0.4,0.37,3,180,3,0,0,medium,31,1,1,2,2,1170,89,6,2.4,4.2
75,Human Resources,Australia,Level 2-4,0.4,0.37,3,170,6,0,0,low,53,2,2,2,1,1498,69,6,2.4,4.2
76,IT,Korea,Level 2-4,0.4,0.37,2,179,5,0,1,low,61,5,1,1,2,1728,72,6,2.4,4.2
77,Warehouse,China,Level 2-4,0.4,0.38,3,257,3,0,0,medium,12,1,1,2,2,3703,78,8,2.4,4.2
78,Operations,US,Level 2-4,0.4,0.38,6,169,3,0,0,low,53,1,1,2,1,1132,90,9,2.4,4.2
79,Sales,US,Level 2-4,0.4,0.38,4,183,5,0,0,medium,32,2,1,1,1,3948,88,6,2.4,4.2
80,Finance,Korea,Level 2-4,0.4,0.38,2,126,3,0,0,medium,17,2,2,2,1,1150,63,9,2.4,4.2
81,Human Resources,China,Level 2-4,0.4,0.38,3,280,2,0,0,low,7,2,1,2,2,2923,75,10,2.4,4.2
82,IT,China,Level 2-4,0.4,0.38,6,215,3,0,0,medium,6,2,2,2,1,2915,75,7,2.4,4.2
83,Warehouse,China,Level 2-4,0.4,0.38,5,139,4,0,0,medium,46,1,2,2,1,1193,87,9,2.4,4.2
84,Operations,China,Level 2-4,0.4,0.38,3,134,3,0,0,medium,31,2,2,1,2,1504,67,10,2.4,4.2
85,Sales,China,Level 2-4,0.4,0.38,6,165,3,0,0,low,61,1,2,1,2,1265,86,6,2.4,4.2
86,Finance,Japan,Level 2-4,0.4,0.38,2,106,3,0,0,medium,37,1,2,2,2,1964,64,6,2.4,4.2
87,Human Resources,France,Level 2-4,0.4,0.38,5,175,4,0,0,high,8,2,1,1,1,1996,89,7,2.4,4.2
88,IT,Colombia,Level 2-4,0.4,0.38,5,171,6,0,1,high,58,4,1,5,5,1257,86,7,2.4,4.2
89,Warehouse,Korea,Level 2-4,0.4,0.38,3,197,2,0,0,medium,14,2,1,2,1,2054,86,8,2.4,4.2
90,Operations,US,Level 2-4,0.4,0.38,4,135,2,0,0,high,47,2,2,1,2,1308,87,7,2.4,4.2
91,Sales,Colombia,Level 2-4,0.4,0.38,3,275,5,0,0,low,14,2,2,2,2,3952,79,10,2.4,4.2
92,Finance,France,Level 2-4,0.4,0.38,6,140,3,0,0,high,18,1,2,2,1,1995,86,10,2.4,4.2
93,Human Resources,Japan,Level 2-4,0.4,0.38,4,140,6,0,0,medium,4,2,1,2,2,1831,86,7,2.4,4.2
94,IT,Korea,Level 2-4,0.4,0.38,3,215,6,0,0,low,65,1,1,1,1,3476,80,9,2.4,4.2
95,Warehouse,UK,Level 2-4,0.4,0.38,2,115,3,0,0,medium,10,1,2,1,2,1556,62,8,2.4,4.2
96,Operations,UK,Level 2-4,0.4,0.38,2,103,3,0,0,low,42,1,1,1,1,1397,69,9,2.4,4.2
97,Sales,Korea,Level 2-4,0.4,0.38,4,186,3,0,0,medium,31,2,1,2,1,2991,86,10,2.4,4.2
98,Finance,Turkey,Level 2-4,0.4,0.38,6,109,2,0,0,medium,63,1,1,1,1,1953,86,7,2.4,4.2
99,Human Resources,China,Level 2-4,0.4,0.38,6,212,6,0,0,high,51,2,1,2,2,3956,80,10,2.4,4.2
100,IT,France,Level 2-4,0.4,0.38,6,105,5,0,0,low,54,2,2,1,1,1968,85,9,2.4,4.2
101,Warehouse,Colombia,Level 2-4,0.4,0.38,4,270,2,0,0,low,23,2,1,2,2,2338,79,10,2.4,4.2
102,Operations,UK,Level 2-4,0.4,0.38,2,268,3,0,0,low,10,2,1,1,2,3014,76,9,2.4,4.2
103,Sales,Colombia,Level 2-4,0.4,0.38,2,139,4,0,0,medium,9,2,2,1,1,1735,73,8,2.4,4.2
104,Finance,Korea,Level 2-4,0.4,0.38,4,145,5,0,0,medium,46,2,1,1,1,1266,90,10,2.4,4.2
105,Human Resources,Korea,Level 2-4,0.4,0.38,5,279,5,0,0,low,51,1,1,1,2,2347,76,7,2.4,4.2
106,IT,Japan,Level 2-4,0.4,0.38,2,278,3,0,0,low,49,1,2,1,1,2583,75,6,2.4,4.2
107,Warehouse,China,Level 1,0.4,0.38,2,269,5,0,0,low,45,2,1,1,1,3873,79,6,2.4,4.2
108,Operations,Korea,Level 1,0.4,0.38,4,128,2,0,0,low,62,2,1,1,2,1690,87,10,2.4,4.2
109,Sales,Turkey,Level 1,0.4,0.38,3,173,2,0,0,low,45,2,1,1,1,1600,68,7,2.4,4.2
110,Finance,Japan,Level 1,0.4,0.38,3,132,4,0,0,medium,31,1,1,1,1,1340,69,10,2.4,4.2
111,Human Resources,UK,Level 1,0.4,0.38,2,103,3,0,0,medium,18,1,1,1,1,1506,66,9,2.4,4.2
112,IT,Japan,Level 1,0.4,0.38,4,203,5,0,0,low,43,1,2,2,2,3418,77,7,2.4,4.2
113,Warehouse,France,Level 1,0.4,0.38,5,191,5,0,0,medium,6,2,1,1,1,2926,88,8,2.4,4.2
114,Operations,China,Level 1,0.4,0.38,5,122,4,0,0,low,38,1,2,1,2,1062,89,7,2.4,4.2
115,Sales,China,Level 1,0.4,0.38,3,119,2,0,0,low,20,2,2,2,1,1683,75,6,2.4,4.2
116,Finance,China,Level 1,0.4,0.38,5,211,7,0,0,medium,31,1,2,1,2,2703,78,8,2.4,4.2
117,Human Resources,US,Level 1,0.4,0.38,4,142,10,0,0,low,38,2,2,1,1,1307,86,10,2.4,4.2
118,IT,France,Level 1,0.4,0.38,5,115,6,0,0,high,47,2,1,1,2,1663,85,6,2.4,4.2
119,Warehouse,US,Level 1,0.4,0.38,2,103,3,0,0,medium,15,1,2,1,1,1042,64,9,2.4,4.2
120,Operations,China,Level 1,0.4,0.38,4,203,5,0,0,low,22,2,1,2,2,2927,80,6,2.4,4.2
121,Sales,UK,Level 1,0.4,0.38,5,191,5,0,0,medium,31,1,1,2,1,3529,90,6,2.4,4.2
122,Finance,Australia,Level 1,0.4,0.38,5,122,4,0,0,low,5,2,2,2,2,1357,90,8,2.4,4.2
123,Human Resources,Australia,Level 1,0.4,0.38,3,119,2,0,0,low,51,2,2,2,1,1298,60,9,2.4,4.2
124,IT,France,Level 1,0.4,0.38,5,211,7,0,0,medium,59,2,1,1,2,2916,77,6,2.4,4.2
125,Warehouse,Colombia,Level 1,0.4,0.38,4,142,10,0,0,low,33,2,2,2,2,1497,89,10,2.4,4.2
126,Operations,Korea,Level 1,0.4,0.38,5,115,6,0,0,high,33,1,2,1,1,1730,87,10,2.4,4.2
127,Sales,UK,Level 1,0.4,0.39,2,136,3,0,0,medium,1,2,2,1,2,1367,68,7,2.4,4.2
128,Finance,Colombia,Level 1,0.4,0.39,5,198,5,0,0,medium,8,1,2,1,1,2166,88,8,2.4,4.2
129,Human Resources,Turkey,Level 1,0.4,0.39,3,99,2,0,0,low,46,1,2,1,2,1403,71,6,2.4,4.2
130,IT,UK,Level 1,0.4,0.39,6,214,5,0,0,low,27,1,1,1,2,3917,75,10,2.4,4.2
131,Warehouse,US,Level 1,0.4,0.39,4,272,3,0,0,low,64,2,2,1,2,2645,79,8,2.4,4.2
132,Operations,Colombia,Level 1,0.4,0.39,2,167,3,0,0,medium,24,1,1,1,1,1389,66,10,2.4,4.2
133,Sales,Turkey,Level 1,0.4,0.39,3,149,3,0,0,low,65,2,1,1,1,1999,75,8,2.4,4.2
134,Finance,Australia,Level 1,0.4,0.39,4,275,3,0,0,medium,15,2,2,1,2,2121,77,6,2.4,4.2
135,Human Resources,China,Level 1,0.4,0.39,3,261,3,0,0,medium,57,2,1,1,2,2730,75,10,2.4,4.2
136,IT,Colombia,Level 1,0.4,0.39,4,239,4,0,0,low,13,1,1,1,2,2415,78,6,2.4,4.2
137,Warehouse,Australia,VP,0.4,0.39,5,263,4,0,0,medium,53,1,1,1,2,3663,78,6,2.4,4.2
138,Operations,Colombia,Senior Director,0.4,0.39,3,193,6,0,0,medium,45,2,1,2,2,3908,89,10,2.4,4.2
139,Sales,US,Senior Director,0.4,0.39,2,210,5,0,0,low,34,1,2,1,1,2633,80,9,2.4,4.2
140,Finance,Australia,Senior Director,0.4,0.39,6,190,3,0,0,medium,13,1,2,1,1,3551,90,10,2.4,4.2
141,Human Resources,UK,Director,0.4,0.39,4,190,5,0,0,medium,10,1,1,1,2,3432,90,8,2.4,4.2
142,IT,Colombia,Director,0.4,0.39,5,111,5,0,0,low,33,2,1,2,2,1617,89,10,2.4,4.2
143,Warehouse,Colombia,Director,0.4,0.39,2,177,6,0,0,medium,18,2,2,1,1,1537,60,10,2.4,4.2
144,Operations,France,Director,0.4,0.39,4,193,4,0,0,medium,4,2,2,2,1,3503,86,10,2.4,4.2
145,Sales,UK,Director,0.4,0.39,5,229,4,0,0,low,60,2,1,2,1,2807,78,9,2.4,4.2
146,Finance,Australia,Director,0.4,0.39,3,99,4,0,0,medium,22,1,1,1,2,1900,70,6,2.4,4.2
147,Human Resources,China,Senior Manager,0.4,0.39,5,158,4,0,0,medium,64,2,1,2,2,1771,87,10,2.4,4.2
148,IT,Colombia,Senior Manager,0.4,0.39,2,188,3,0,0,low,7,2,2,2,2,3568,85,6,2.4,4.2
149,Warehouse,Korea,Senior Manager,0.4,0.39,2,145,3,0,0,medium,51,1,1,2,2,1649,66,10,2.4,4.2
150,Operations,Japan,Senior Manager,0.4,0.39,5,161,4,0,0,low,61,2,1,2,2,1107,89,8,2.4,4.2
151,Sales,Australia,Senior Manager,0.4,0.39,3,175,3,0,0,medium,39,1,2,2,2,1706,68,10,2.4,4.2
152,Finance,US,Senior Manager,0.4,0.39,3,193,3,0,0,low,57,2,2,2,1,3200,85,10,2.4,4.2
153,Human Resources,Japan,Senior Manager,0.4,0.39,2,235,6,0,0,low,41,2,2,1,1,3235,77,9,2.4,4.2
154,IT,Korea,Senior Manager,0.4,0.39,3,98,3,0,0,low,47,2,2,2,1,1875,60,7,2.4,4.2
155,Warehouse,Korea,Senior Manager,0.4,0.39,6,246,4,0,0,medium,49,1,2,1,1,2846,76,6,2.4,4.2
156,Operations,US,Senior Manager,0.4,0.39,2,118,4,0,0,medium,37,2,1,1,1,1397,64,10,2.4,4.2
157,Sales,China,Senior Manager,0.4,0.39,6,285,4,0,0,low,5,2,2,1,2,3155,80,8,2.4,4.2
158,Finance,Turkey,Senior Manager,0.4,0.39,3,98,3,0,0,low,48,1,2,1,1,1772,73,7,2.4,4.2
159,Human Resources,UK,Manager,0.4,0.39,4,152,5,0,0,high,17,1,2,2,2,1969,85,10,2.4,4.2
160,IT,UK,Manager,0.4,0.39,6,215,5,0,0,medium,28,2,1,1,2,3375,79,6,2.4,4.2
161,Warehouse,Japan,Manager,0.4,0.39,5,158,2,0,0,medium,39,2,1,1,1,1270,85,9,2.4,4.2
162,Operations,China,Manager,0.4,0.39,2,131,2,0,0,high,42,1,2,1,2,1761,75,6,2.4,4.2
163,Sales,Korea,Manager,0.4,0.39,3,257,3,0,0,low,38,2,2,1,1,2046,80,7,2.4,4.2
164,Finance,Colombia,Manager,0.4,0.39,6,132,5,0,0,medium,19,2,1,2,1,1272,88,9,2.4,4.2
165,Human Resources,France,Manager,0.4,0.39,5,200,4,0,0,medium,28,1,1,1,1,3006,86,8,2.4,4.2
166,IT,Colombia,Manager,0.4,0.39,5,218,2,0,0,low,26,2,2,1,2,2053,77,10,2.4,4.2
167,Warehouse,Turkey,Manager,0.4,0.39,6,105,6,0,0,medium,11,1,1,1,2,1077,90,8,2.4,4.2
168,Operations,US,Manager,0.4,0.39,4,132,3,0,0,high,42,1,1,2,2,1243,89,10,2.4,4.2
169,Sales,Turkey,Manager,0.4,0.39,5,132,6,0,1,low,63,5,5,2,1,1932,87,10,2.4,4.2
170,Finance,Australia,Manager,0.4,0.39,3,106,8,0,0,high,40,1,1,1,1,1283,60,8,2.4,4.2
171,Human Resources,China,Manager,0.4,0.39,2,207,7,0,0,medium,61,2,2,1,1,2439,79,7,2.4,4.2
172,IT,Korea,Manager,0.4,0.39,5,200,4,0,0,medium,59,1,2,1,2,2563,88,7,2.4,4.2
173,Warehouse,Korea,Manager,0.4,0.39,5,218,2,0,0,low,65,2,2,2,2,3754,75,10,2.4,4.2
174,Operations,Korea,Manager,0.4,0.39,6,105,6,0,0,medium,8,2,2,2,2,1558,86,8,2.4,4.2
175,Sales,Turkey,Manager,0.4,0.39,4,132,3,0,0,high,38,1,1,1,1,1298,87,7,2.4,4.2
176,Finance,US,Manager,0.4,0.39,5,132,6,0,1,low,39,4,1,1,1,1880,86,7,2.4,4.2
177,Human Resources,Australia,Manager,0.4,0.39,3,106,8,0,0,high,26,2,2,1,2,1685,74,7,2.4,4.2
178,IT,Korea,Manager,0.4,0.39,2,207,7,0,0,medium,37,1,1,2,2,2844,76,8,2.4,4.2
179,Warehouse,Japan,Manager,0.4,0.4,4,212,2,0,0,low,12,2,1,2,2,3301,77,6,2.4,4.2
180,Operations,Australia,Manager,0.4,0.4,4,258,4,0,0,medium,59,2,1,1,2,2694,78,7,2.4,4.2
181,Sales,US,Level 2-4,0.4,0.4,2,141,2,0,0,low,41,1,1,2,1,1338,70,10,2.4,4.2
182,Finance,US,Level 2-4,0.4,0.4,2,194,2,0,0,low,10,1,2,1,1,3597,87,10,2.4,4.2
183,Human Resources,UK,Level 2-4,0.4,0.4,2,122,5,0,0,low,32,1,1,2,2,1542,72,9,2.4,4.2
184,IT,UK,Level 2-4,0.4,0.4,3,120,6,0,0,low,28,1,2,2,2,1761,73,8,2.4,4.2
185,Warehouse,Colombia,Level 2-4,0.4,0.4,5,286,4,0,0,low,27,2,1,2,1,3803,75,8,2.4,4.2
186,Operations,Colombia,Level 2-4,0.4,0.4,2,155,5,0,0,medium,12,1,1,2,2,1619,65,10,2.4,4.2
187,Sales,France,Level 2-4,0.4,0.4,6,177,2,0,0,medium,11,2,2,2,2,1284,87,10,2.4,4.2
188,Finance,Turkey,Level 2-4,0.4,0.4,4,161,2,0,0,low,38,2,2,1,1,1251,88,10,2.4,4.2
189,Human Resources,Japan,Level 2-4,0.4,0.4,6,174,3,0,0,medium,34,2,1,2,2,1933,90,9,2.4,4.2
190,IT,Korea,Level 2-4,0.4,0.4,4,286,3,0,0,low,48,2,1,2,1,3708,77,9,2.4,4.2
191,Warehouse,China,Level 2-4,0.4,0.4,3,248,3,0,0,medium,32,2,2,2,2,2727,80,7,2.4,4.2
192,Operations,Australia,Level 2-4,0.4,0.4,3,180,4,0,0,medium,10,2,1,2,1,1496,86,6,2.4,4.2
193,Sales,US,Level 2-4,0.4,0.4,2,245,5,0,0,medium,29,1,1,1,1,3805,80,7,2.4,4.2
194,Finance,US,Level 2-4,0.4,0.4,6,162,5,0,0,low,24,2,1,2,1,1829,89,7,2.4,4.2
195,Human Resources,Korea,Level 2-4,0.4,0.4,2,255,3,0,0,medium,63,2,2,2,1,3418,75,6,2.4,4.2
196,IT,Japan,Level 2-4,0.4,0.4,3,160,2,0,0,low,64,1,1,2,1,1756,64,7,2.4,4.2
197,Warehouse,China,Level 2-4,0.4,0.4,6,110,4,0,0,low,45,2,1,2,1,1442,89,7,2.4,4.2
198,Operations,China,Level 2-4,0.4,0.4,2,277,2,0,0,medium,19,2,2,1,1,2821,78,8,2.4,4.2
199,Sales,Korea,Level 2-4,0.4,0.4,4,114,4,0,0,low,3,1,2,2,1,1554,85,8,2.4,4.2
200,Finance,Korea,Level 2-4,0.4,0.4,3,262,3,0,0,low,38,2,2,2,2,3080,79,6,2.4,4.2
201,Human Resources,Colombia,Level 2-4,0.4,0.4,5,199,4,0,0,high,65,1,1,1,2,3543,89,8,2.4,4.2
202,IT,Turkey,Level 2-4,0.4,0.4,3,160,3,0,0,medium,35,1,1,1,1,1862,65,10,2.4,4.2
203,Warehouse,Korea,Level 2-4,0.4,0.4,5,212,3,0,0,medium,14,1,1,1,1,3646,80,10,2.4,4.2
204,Operations,France,Level 2-4,0.4,0.4,2,105,3,0,0,low,31,1,2,1,2,1151,60,7,2.4,4.2
205,Sales,US,Level 2-4,0.4,0.4,3,130,3,0,0,low,62,1,1,2,1,1985,74,7,2.4,4.2
206,Finance,China,Level 2-4,0.4,0.4,6,214,6,0,0,medium,57,2,1,2,1,2417,77,10,2.4,4.2
207,Human Resources,Colombia,Level 2-4,0.4,0.4,6,205,3,0,0,medium,54,2,2,2,2,3413,77,6,2.4,4.2
208,IT,Colombia,Level 2-4,0.4,0.4,3,146,4,0,0,low,54,1,1,1,2,1431,60,8,2.4,4.2
209,Warehouse,Colombia,Level 2-4,0.4,0.4,4,246,3,0,0,low,13,1,2,1,2,2784,80,7,2.4,4.2
210,Operations,Australia,Level 2-4,0.4,0.4,3,236,5,0,0,medium,52,1,1,2,1,3341,78,10,2.4,4.2
211,Sales,Turkey,Level 2-4,0.4,0.4,4,207,5,0,0,low,39,1,1,2,1,2871,78,8,2.4,4.2
212,Finance,Turkey,Level 2-4,0.4,0.4,3,145,2,0,0,medium,45,1,2,1,2,1723,71,7,2.4,4.2
213,Human Resources,US,Level 2-4,0.4,0.4,3,113,3,0,0,high,21,1,2,2,2,1853,60,9,2.4,4.2
214,IT,France,Level 2-4,0.4,0.4,4,138,4,0,0,low,35,2,2,1,1,1350,88,9,2.4,4.2
215,Warehouse,France,Level 2-4,0.4,0.4,2,108,2,0,0,medium,18,1,2,1,1,1909,69,9,2.4,4.2
216,Operations,US,Level 2-4,0.4,0.4,5,219,4,0,0,medium,39,1,1,2,1,3250,79,9,2.4,4.2
217,Sales,Colombia,Level 2-4,0.4,0.4,2,132,3,0,0,low,46,1,1,2,2,1961,72,7,2.4,4.2
218,Finance,US,Level 2-4,0.4,0.4,2,238,3,0,0,low,24,2,2,2,2,2685,77,10,2.4,4.2
219,Human Resources,Colombia,Level 2-4,0.4,0.4,6,153,3,0,0,low,50,1,1,2,1,1150,90,10,2.4,4.2
220,IT,Korea,Level 2-4,0.4,0.4,4,145,5,0,1,medium,9,5,5,2,1,1352,85,6,2.4,4.2
221,Warehouse,US,Level 2-4,0.4,0.4,3,139,8,0,1,medium,16,4,5,2,1,1718,61,9,2.4,4.2
222,Operations,Australia,Level 2-4,0.4,0.4,3,158,3,0,0,low,21,2,1,2,2,1553,69,9,2.4,4.2
